cluster_name	safe_cluster_id	representative_id	ko	trusted_hit	score	evalue	threshold	kofamscan_definition	ko_definition	module_ids	module_names	pathway_ids	pathway_names	brite_A_id	brite_A_name	brite_B_id	brite_B_name	brite_C_id	brite_C_name	brite_ko_entry	pfam_target_name	pfam_accession	pfam_full_evalue	pfam_full_score	pfam_domain_i_evalue	pfam_domain_score	pfam_description	HAY1-4A	KNZ1-1G	KNZ1-1H	KNZ1-4G	KNZ1-6H	KNZ1-9H	KNZ12-10F	KNZ12-12B	KNZ12-1A	KNZ12-1B	KNZ12-6F	KNZ12-7H	KNZ13-10G	KNZ13-1A	KNZ13-6D	KNZ14-11B	KNZ14-9G	KNZ2-12A	KNZ2-1B	KNZ2-1C	KNZ2-3D	KNZ2-4C	KNZ2-5A	KNZ2-5C	KNZ2-5D	KNZ2-6B	KNZ2-6D	KNZ2-7A	KNZ2-8B	KNZ2-8D	KNZ2-9B	SVR3-12F	SVR3-5F	SVR3-6C	SVR3-7D	SVR3-7F	SVR3-8D	SVR3-8G	SVR3-9D	SVR3-9F	SVR3-9G	SVR3-9H	SVR4-10G	SVR4-12F	SVR4-1A	SVR4-1E	SVR4-7E	SVR4-9A	SVR4-9G	SVR5-10A	SVR5-11B	SVR5-12D	SVR5-12G	SVR5-1A	SVR5-1B	SVR5-1H	SVR5-2B	SVR5-3A	SVR5-3C	SVR5-3E	SVR5-4F	SVR5-5G	SVR5-9B	SVR6-10C	SVR6-10D	SVR6-11A	SVR6-11D	SVR6-7A	SVR6-8A	SVR6-9D	TLI6-10H	TLI6-11F	TLI6-1G	TLI6-3F	TLI6-4A	TLI6-5F	TLI6-5H	TLI6-8H	TLI6-IE	TLI7-5F	TLI7-6A	TLI7-7B	TLI7-7G	TLI8-10B	TLI8-4H	TLI8-6C	TLI8-7A	TLI8-8A	TLI8-8F	TLI8-9D	TLI8-9H	TLI9-11B	TLI9-11C	TLI9-12B	TLI9-1C	TLI9-3A
group_5962																												0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5963	cluster_000990	KNZ11G_08975	K03832	yes	81.3	7.70E-23	38.63	periplasmic protein TonB	tonB; periplasmic protein TonB					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	tonB; periplasmic protein TonB	TonB_C	PF03544.20	1.40E-16	61.2	3.80E-16	59.9	Gram-negative bacterial TonB protein C-terminal	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gshB	cluster_002681	KNZ11G_08980	K01920	yes	463	4.10E-139	135.6	glutathione synthase [EC:6.3.2.3]	gshB; glutathione synthase [EC:6.3.2.3]	M00118	"M00118: Glutathione biosynthesis, glutamate => glutathione"	map00270; ko00270; map00480; ko00480; map01100; ko01100; map01240; ko01240	map00270: Cysteine and methionine metabolism; ko00270; map00480: Glutathione metabolism; ko00480; map01100: Metabolic pathways; ko01100; map01240: Biosynthesis of cofactors; ko01240	9100	Metabolism	9106	Metabolism of other amino acids	ko00480	Glutathione metabolism	gshB; glutathione synthase [EC:6.3.2.3]	GSH-S_ATP	PF02955.22	1.20E-72	243.6	1.50E-72	243.3	"Prokaryotic glutathione synthetase, ATP-grasp domain"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cheW	cluster_001380	KNZ11G_08995	K02659	yes	186.3	7.40E-55	108.63	twitching motility protein PilI	pilI; twitching motility protein PilI			map02020; ko02020; map02025; ko02025	map02020: Two-component system; ko02020; map02025: Biofilm formation - Pseudomonas aeruginosa; ko02025	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2035	Bacterial motility proteins [BR:ko02035]	pilI; twitching motility protein PilI	CheW	PF01584.25	7.20E-28	97.5	8.30E-28	97.3	CheW-like domain	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cheA	cluster_002624	KNZ11G_09005	K06596	yes	2025.1	0	729.13	chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)	chpA; chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)			map02020; ko02020; map02025; ko02025	map02020: Two-component system; ko02020; map02025: Biofilm formation - Pseudomonas aeruginosa; ko02025	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2035	Bacterial motility proteins [BR:ko02035]	chpA; chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)	FimL_C	PF27543.1	8.40E-53	178	3.90E-33	114.5	FimL C-terminal domain	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5967	cluster_000623	KNZ11G_09010	K06597	yes	341	7.10E-102	181.63	chemosensory pili system protein ChpB (putative protein-glutamate methylesterase)	chpB; chemosensory pili system protein ChpB (putative protein-glutamate methylesterase)			map02020; ko02020	map02020: Two-component system; ko02020	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2035	Bacterial motility proteins [BR:ko02035]	chpB; chemosensory pili system protein ChpB (putative protein-glutamate methylesterase)	CheB_methylest	PF01339.23	3.50E-15	56.8	5.10E-15	56.2	CheB methylesterase	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chpC	cluster_003148	KNZ11G_09015	K06598	yes	190.5	1.50E-56	76.17	chemosensory pili system protein ChpC	chpC; chemosensory pili system protein ChpC			map02020; ko02020; map02025; ko02025	map02020: Two-component system; ko02020; map02025: Biofilm formation - Pseudomonas aeruginosa; ko02025	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2035	Bacterial motility proteins [BR:ko02035]	chpC; chemosensory pili system protein ChpC	CheW	PF01584.25	5.20E-13	49.4	6.10E-13	49.2	CheW-like domain	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hemP																												0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5970	cluster_001791	KNZ11G_09025	K07225	no	15.8	0.0029	101.43	putative hemin transport protein	hmuS; putative hemin transport protein					9190	Not Included in Pathway or Brite	9193	Unclassified: signaling and cellular processes	99994	Others	hmuS; putative hemin transport protein								0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hlyD	cluster_001373	KNZ11G_09030	K02005	no	214.1	2.80E-63	243.3	HlyD family secretion protein	ABC.CD.TX; HlyD family secretion protein					9190	Not Included in Pathway or Brite	9193	Unclassified: signaling and cellular processes	99992	Structural proteins	ABC.CD.TX; HlyD family secretion protein	YknX_C	PF25989.1	4.90E-13	49.3	1.30E-12	48	"YknX, C-terminal permuted SH3-like domain"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FtsX-like permease family protein	cluster_000892	KNZ11G_09040	K05685	no	121.7	2.10E-35	533.83	macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]	macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]			map02010; ko02010	map02010: ABC transporters; ko02010	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]	MacB_PCD	PF12704.15	8.50E-20	72.5	1.40E-19	71.8	MacB-like periplasmic core domain	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5973	cluster_001937	KNZ11G_09045	K05685	no	131.7	1.90E-38	533.83	macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]	macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]			map02010; ko02010	map02010: ABC transporters; ko02010	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]	FtsX	PF02687.28	1.40E-17	64.4	1.40E-17	64.4	FtsX-like permease C-terminal	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABC transporter ATP-binding protein	cluster_002030	KNZ11G_09050	K05685	no	102.6	1.20E-29	533.83	macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]	macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]			map02010; ko02010	map02010: ABC transporters; ko02010	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]	MacB_PCD	PF12704.15	8.90E-19	69.2	1.80E-18	68.2	MacB-like periplasmic core domain	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5975	cluster_001738	KNZ11G_09055	K05685	no	115.4	1.70E-33	533.83	macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]	macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]			map02010; ko02010	map02010: ABC transporters; ko02010	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]	MacB_PCD	PF12704.15	6.70E-16	59.8	6.70E-16	59.8	MacB-like periplasmic core domain	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5976	cluster_003363	KNZ11G_09065	K13598	no	198.9	9.60E-59	266.73	"two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]"	"ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]"			map02020; ko02020	map02020: Two-component system; ko02020	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2022	Two-component system [BR:ko02022]	"ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]"	HATPase_c	PF02518.32	8.80E-23	81.5	1.60E-22	80.6	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NfeD-like C-terminal domain-containing protein	cluster_002316	KNZ11G_09075	K07340	yes	157.3	3.20E-46	73.63	inner membrane protein	ybbJ; inner membrane protein					9190	Not Included in Pathway or Brite	9193	Unclassified: signaling and cellular processes	99992	Structural proteins	ybbJ; inner membrane protein	NfeD	PF01957.26	1.80E-10	41.5	6.60E-10	39.6	"NfeD-like C-terminal, partner-binding domain"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DUF1212 domain-containing protein	cluster_001014	KNZ11G_09080	K02196	no	8.9	1.4	24.57	heme exporter protein D	ccmD; heme exporter protein D			map02010; ko02010	map02010: ABC transporters; ko02010	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	ccmD; heme exporter protein D	ThrE	PF06738.19	6.30E-52	177	1.20E-46	159.8	Putative threonine/serine exporter	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tautomerase enzyme	cluster_001493	KNZ11G_09085	K14422	no	77.5	5.00E-22	-	malonate semialdehyde decarboxylase [EC:4.1.1.-]	msaD; malonate semialdehyde decarboxylase [EC:4.1.1.-]			map00625; ko00625; map01120; ko01120	map00625: Chloroalkane and chloroalkene degradation; ko00625; map01120: Microbial metabolism in diverse environments; ko01120	9100	Metabolism	9111	Xenobiotics biodegradation and metabolism	ko00625	Chloroalkane and chloroalkene degradation	msaD; malonate semialdehyde decarboxylase [EC:4.1.1.-]	Tautomerase_2	PF14552.12	9.90E-35	119.1	9.60E-34	115.9	Tautomerase enzyme	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hns	cluster_001876	KNZ11G_09090	K03746	yes	108.8	3.40E-31	27.67	DNA-binding protein H-NS	hns; DNA-binding protein H-NS					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3400	DNA repair and recombination proteins [BR:ko03400]	hns; DNA-binding protein H-NS	Histone_HNS	PF00816.28	1.30E-18	67	2.00E-18	66.4	H-NS histone C-terminal domain	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
proline--tRNA ligase	cluster_002963	KNZ11G_09095	K01881	yes	544.3	2.30E-163	173.63	prolyl-tRNA synthetase [EC:6.1.1.15]	"PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]"			map00970; ko00970	map00970: Aminoacyl-tRNA biosynthesis; ko00970	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3016	Transfer RNA biogenesis [BR:ko03016]	"PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]"	tRNA-synt_2b	PF00587.31	1.70E-37	129.8	3.10E-37	129	"tRNA synthetase class II core domain (G, H, P, S and T)"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5982	cluster_002254	KNZ11G_09100	K15539	no	15.1	0.008	48.63	cytoskeleton protein RodZ	rodZ; cytoskeleton protein RodZ					9190	Not Included in Pathway or Brite	9193	Unclassified: signaling and cellular processes	99992	Structural proteins	rodZ; cytoskeleton protein RodZ	DUF4124	PF13511.12	4.60E-15	56.2	4.60E-15	56.2	Domain of unknown function (DUF4124)	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNA polymerase III subunit psi	cluster_000770	KNZ11G_09110	K02344	no	21.1	0.00015	43.63	DNA polymerase III subunit psi [EC:2.7.7.7]	holD; DNA polymerase III subunit psi [EC:2.7.7.7]			map03030; ko03030; map03430; ko03430; map03440; ko03440	map03030: DNA replication; ko03030; map03430: Mismatch repair; ko03430; map03440: Homologous recombination; ko03440	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3400	DNA repair and recombination proteins [BR:ko03400]	holD; DNA polymerase III subunit psi [EC:2.7.7.7]	DNA_III_psi	PF03603.19	0.022	15.6	0.52	11.2	DNA polymerase III psi subunit	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5984	cluster_002130	KNZ11G_09115	K03789	yes	171	2.70E-50	105.83	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3009	Ribosome biogenesis [BR:ko03009]	rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	Acetyltransf_1	PF00583.32	2.80E-18	66.9	3.40E-18	66.6	Acetyltransferase (GNAT) family	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5985	cluster_002558	KNZ11G_09120	K02004	yes	63.5	8.50E-18	52.93	putative ABC transport system permease protein	ABC.CD.P; putative ABC transport system permease protein					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	ABC.CD.P; putative ABC transport system permease protein	FtsX	PF02687.28	3.50E-20	72.8	2.00E-13	51	FtsX-like permease C-terminal	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Acyl-CoA thioesterase-1	cluster_002510	KNZ11G_09130	K10804	yes	236.4	4.30E-70	111.53	acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]	tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]			map01040; ko01040	map01040: Biosynthesis of unsaturated fatty acids; ko01040	9180	Brite Hierarchies	9181	Protein families: metabolism	1004	Lipid biosynthesis proteins [BR:ko01004]	tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]	Lipase_GDSL_2	PF13472.13	8.90E-25	88.8	1.10E-24	88.5	GDSL-like Lipase/Acylhydrolase family	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5987	cluster_001706	KNZ11G_09140	K07645	no	102.8	9.80E-30	441.17	"two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"	"qseC; two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"			map02020; ko02020; map02024; ko02024	map02020: Two-component system; ko02020; map02024: Quorum sensing; ko02024	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2022	Two-component system [BR:ko02022]	"qseC; two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"	HisKA	PF00512.32	4.00E-14	53	7.50E-14	52.1	His Kinase A (phospho-acceptor) domain	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5988	cluster_000857	KNZ11G_09145	K02199	no	16.6	0.0026	119.97	"cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"	"ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3110	Chaperones and folding catalysts [BR:ko03110]	"ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"	Thioredoxin_8	PF13905.13	0.32	12	0.46	11.5	Thioredoxin-like	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_5989	cluster_001291	KNZ11G_09160	K15011	yes	394.8	3.70E-118	203.27	"two-component system, sensor histidine kinase RegB [EC:2.7.13.3]"	"regB, regS, actS; two-component system, sensor histidine kinase RegB [EC:2.7.13.3]"			map02020; ko02020	map02020: Two-component system; ko02020	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2022	Two-component system [BR:ko02022]	"regB, regS, actS; two-component system, sensor histidine kinase RegB [EC:2.7.13.3]"	HATPase_c	PF02518.32	1.40E-13	51.8	2.40E-13	51.1	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Proton-dependent oligopeptide transporter, POT family"	cluster_001292	KNZ11G_09165	K03305	yes	406.5	1.40E-121	370.93	"proton-dependent oligopeptide transporter, POT family"	"TC.POT; proton-dependent oligopeptide transporter, POT family"					9190	Not Included in Pathway or Brite	9193	Unclassified: signaling and cellular processes	99977	Transport	"TC.POT; proton-dependent oligopeptide transporter, POT family"	PTR2	PF00854.28	4.90E-62	210.6	7.00E-62	210.1	POT family	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
